,Symbol,Order,Shares
2011-02-02,JPM,BUY,0.0
2011-02-03,JPM,BUY,0.0
2011-02-04,JPM,BUY,0.0
2011-02-07,JPM,BUY,0.0
2011-02-08,JPM,BUY,0.0
2011-02-09,JPM,BUY,0.0
2011-02-10,JPM,BUY,0.0
2011-02-11,JPM,BUY,0.0
2011-02-14,JPM,BUY,0.0
2011-02-15,JPM,BUY,0.0
2011-02-16,JPM,BUY,0.0
2011-02-17,JPM,BUY,0.0
2011-02-18,JPM,BUY,0.0
2011-02-22,JPM,BUY,0.0
2011-02-23,JPM,BUY,0.0
2011-02-24,JPM,BUY,0.0
2011-02-25,JPM,BUY,0.0
2011-02-28,JPM,BUY,0.0
2011-03-01,JPM,BUY,0.0
2011-03-02,JPM,BUY,0.0
2011-03-03,JPM,BUY,0.0
2011-03-04,JPM,BUY,0.0
2011-03-07,JPM,BUY,0.0
2011-03-08,JPM,BUY,0.0
2011-03-09,JPM,BUY,0.0
2011-03-10,JPM,BUY,0.0
2011-03-11,JPM,BUY,0.0
2011-03-14,JPM,BUY,0.0
2011-03-15,JPM,BUY,0.0
2011-03-16,JPM,BUY,0.0
2011-03-17,JPM,BUY,0.0
2011-03-18,JPM,BUY,0.0
2011-03-21,JPM,BUY,0.0
2011-03-22,JPM,BUY,0.0
2011-03-23,JPM,BUY,0.0
2011-03-24,JPM,BUY,0.0
2011-03-25,JPM,BUY,0.0
2011-03-28,JPM,BUY,0.0
2011-03-29,JPM,BUY,0.0
2011-03-30,JPM,BUY,0.0
2011-03-31,JPM,BUY,0.0
2011-04-01,JPM,BUY,0.0
2011-04-04,JPM,BUY,0.0
2011-04-05,JPM,BUY,0.0
2011-04-06,JPM,BUY,0.0
2011-04-07,JPM,BUY,0.0
2011-04-08,JPM,BUY,0.0
2011-04-11,JPM,BUY,0.0
2011-04-12,JPM,BUY,0.0
2011-04-13,JPM,BUY,0.0
2011-04-14,JPM,BUY,0.0
2011-04-15,JPM,BUY,0.0
2011-04-18,JPM,BUY,0.0
2011-04-19,JPM,BUY,0.0
2011-04-20,JPM,BUY,0.0
2011-04-21,JPM,BUY,0.0
2011-04-25,JPM,BUY,0.0
2011-04-26,JPM,BUY,0.0
2011-04-27,JPM,BUY,0.0
2011-04-28,JPM,BUY,0.0
2011-04-29,JPM,BUY,0.0
2011-05-02,JPM,BUY,0.0
2011-05-03,JPM,BUY,0.0
2011-05-04,JPM,BUY,0.0
2011-05-05,JPM,BUY,0.0
2011-05-06,JPM,BUY,0.0
2011-05-09,JPM,BUY,0.0
2011-05-10,JPM,BUY,0.0
2011-05-11,JPM,BUY,0.0
2011-05-12,JPM,BUY,0.0
2011-05-13,JPM,BUY,0.0
2011-05-16,JPM,BUY,0.0
2011-05-17,JPM,BUY,0.0
2011-05-18,JPM,BUY,0.0
2011-05-19,JPM,BUY,0.0
2011-05-20,JPM,BUY,0.0
2011-05-23,JPM,BUY,1000.0
2011-05-24,JPM,BUY,0.0
2011-05-25,JPM,BUY,0.0
2011-05-26,JPM,BUY,0.0
2011-05-27,JPM,BUY,0.0
2011-05-31,JPM,BUY,0.0
2011-06-01,JPM,BUY,0.0
2011-06-02,JPM,BUY,0.0
2011-06-03,JPM,BUY,0.0
2011-06-06,JPM,BUY,0.0
2011-06-07,JPM,BUY,0.0
2011-06-08,JPM,BUY,0.0
2011-06-09,JPM,BUY,0.0
2011-06-10,JPM,BUY,0.0
2011-06-13,JPM,BUY,0.0
2011-06-14,JPM,BUY,0.0
2011-06-15,JPM,BUY,0.0
2011-06-16,JPM,BUY,0.0
2011-06-17,JPM,BUY,0.0
2011-06-20,JPM,BUY,0.0
2011-06-21,JPM,BUY,0.0
2011-06-22,JPM,BUY,0.0
2011-06-23,JPM,BUY,0.0
2011-06-24,JPM,BUY,0.0
2011-06-27,JPM,BUY,0.0
2011-06-28,JPM,BUY,0.0
2011-06-29,JPM,BUY,0.0
2011-06-30,JPM,BUY,0.0
2011-07-01,JPM,BUY,0.0
2011-07-05,JPM,BUY,0.0
2011-07-06,JPM,BUY,0.0
2011-07-07,JPM,BUY,0.0
2011-07-08,JPM,BUY,0.0
2011-07-11,JPM,BUY,0.0
2011-07-12,JPM,BUY,0.0
2011-07-13,JPM,BUY,0.0
2011-07-14,JPM,BUY,0.0
2011-07-15,JPM,BUY,0.0
2011-07-18,JPM,BUY,0.0
2011-07-19,JPM,BUY,0.0
2011-07-20,JPM,BUY,0.0
2011-07-21,JPM,BUY,0.0
2011-07-22,JPM,BUY,0.0
2011-07-25,JPM,BUY,0.0
2011-07-26,JPM,BUY,0.0
2011-07-27,JPM,BUY,0.0
2011-07-28,JPM,BUY,0.0
2011-07-29,JPM,BUY,0.0
2011-08-01,JPM,BUY,0.0
2011-08-02,JPM,BUY,0.0
2011-08-03,JPM,BUY,0.0
2011-08-04,JPM,BUY,0.0
2011-08-05,JPM,BUY,0.0
2011-08-08,JPM,BUY,0.0
2011-08-09,JPM,BUY,0.0
2011-08-10,JPM,BUY,0.0
2011-08-11,JPM,BUY,0.0
2011-08-12,JPM,BUY,0.0
2011-08-15,JPM,BUY,0.0
2011-08-16,JPM,BUY,0.0
2011-08-17,JPM,BUY,0.0
2011-08-18,JPM,BUY,0.0
2011-08-19,JPM,BUY,0.0
2011-08-22,JPM,BUY,0.0
2011-08-23,JPM,BUY,0.0
2011-08-24,JPM,BUY,0.0
2011-08-25,JPM,BUY,0.0
2011-08-26,JPM,BUY,0.0
2011-08-29,JPM,BUY,0.0
2011-08-30,JPM,BUY,0.0
2011-08-31,JPM,BUY,0.0
2011-09-01,JPM,BUY,0.0
2011-09-02,JPM,BUY,0.0
2011-09-06,JPM,BUY,0.0
2011-09-07,JPM,BUY,0.0
2011-09-08,JPM,BUY,0.0
2011-09-09,JPM,BUY,0.0
2011-09-12,JPM,BUY,0.0
2011-09-13,JPM,BUY,0.0
2011-09-14,JPM,BUY,0.0
2011-09-15,JPM,BUY,0.0
2011-09-16,JPM,BUY,0.0
2011-09-19,JPM,BUY,0.0
2011-09-20,JPM,BUY,0.0
2011-09-21,JPM,BUY,0.0
2011-09-22,JPM,BUY,0.0
2011-09-23,JPM,BUY,0.0
2011-09-26,JPM,BUY,0.0
2011-09-27,JPM,BUY,0.0
2011-09-28,JPM,BUY,0.0
2011-09-29,JPM,BUY,0.0
2011-09-30,JPM,BUY,0.0
2011-10-03,JPM,BUY,0.0
2011-10-04,JPM,BUY,0.0
2011-10-05,JPM,BUY,0.0
2011-10-06,JPM,BUY,0.0
